,total_RE,white,black,aindian,asian,pacisland,other,latinx,total_poverty,under_poverty,income,county,state,tract,GEOID10,acs_year
173,3468.0,2407.0,78.0,11.0,225.0,85.0,90.0,572.0,3465.0,1046.0,26490.0,011,53,041600,53011041600,2015
174,3711.0,2582.0,120.0,11.0,222.0,31.0,369.0,376.0,3711.0,997.0,36042.0,011,53,041700,53011041700,2015
175,3526.0,2372.0,49.0,104.0,18.0,0.0,378.0,605.0,3526.0,715.0,41458.0,011,53,041800,53011041800,2015
176,1961.0,1660.0,54.0,8.0,32.0,0.0,74.0,125.0,1885.0,257.0,41689.0,011,53,041900,53011041900,2015
177,1745.0,1478.0,21.0,9.0,26.0,0.0,49.0,162.0,1745.0,148.0,72258.0,011,53,042000,53011042000,2015
178,2849.0,2328.0,42.0,0.0,61.0,19.0,168.0,231.0,2849.0,307.0,58289.0,011,53,042100,53011042100,2015
179,2955.0,2438.0,104.0,0.0,132.0,0.0,103.0,178.0,2940.0,720.0,36232.0,011,53,042300,53011042300,2015
180,2250.0,1736.0,78.0,58.0,28.0,32.0,111.0,207.0,1351.0,346.0,34962.0,011,53,042400,53011042400,2015
181,1174.0,971.0,65.0,0.0,0.0,14.0,92.0,32.0,1170.0,217.0,40586.0,011,53,042500,53011042500,2015
182,5049.0,3835.0,35.0,34.0,255.0,155.0,219.0,516.0,4928.0,1244.0,37285.0,011,53,042600,53011042600,2015
183,4759.0,2543.0,54.0,43.0,286.0,230.0,325.0,1278.0,4656.0,1647.0,28016.0,011,53,042700,53011042700,2015
184,3120.0,2442.0,127.0,12.0,8.0,0.0,115.0,416.0,3120.0,470.0,65875.0,011,53,042800,53011042800,2015
185,1651.0,1225.0,45.0,0.0,55.0,15.0,51.0,260.0,1636.0,475.0,51375.0,011,53,042900,53011042900,2015
186,1747.0,1323.0,35.0,8.0,36.0,12.0,46.0,271.0,1747.0,199.0,53100.0,011,53,043000,53011043000,2015
187,4119.0,3322.0,53.0,6.0,203.0,2.0,133.0,393.0,4117.0,518.0,57898.0,011,53,043100,53011043100,2015
188,3989.0,3531.0,14.0,18.0,22.0,37.0,101.0,255.0,3914.0,690.0,38581.0,013,53,960200,53013960200,2015
189,601.0,334.0,3.0,4.0,0.0,0.0,14.0,246.0,601.0,323.0,16406.0,015,53,000300,53015000300,2015
190,3488.0,2813.0,22.0,89.0,32.0,0.0,65.0,467.0,3445.0,542.0,29764.0,015,53,000400,53015000400,2015
191,2896.0,2434.0,0.0,0.0,19.0,19.0,208.0,216.0,2888.0,507.0,35483.0,015,53,000501,53015000501,2015
192,4833.0,3429.0,45.0,35.0,107.0,0.0,223.0,985.0,4780.0,1983.0,22092.0,015,53,000502,53015000502,2015
193,3676.0,3117.0,17.0,0.0,35.0,0.0,305.0,177.0,3617.0,1146.0,27736.0,015,53,000601,53015000601,2015
194,3148.0,2834.0,12.0,28.0,39.0,0.0,73.0,162.0,3132.0,420.0,54259.0,015,53,000602,53015000602,2015
195,3136.0,2869.0,1.0,37.0,74.0,0.0,73.0,82.0,3123.0,337.0,60573.0,015,53,000702,53015000702,2015
196,1429.0,1198.0,0.0,26.0,15.0,0.0,66.0,124.0,1429.0,281.0,40075.0,015,53,000703,53015000703,2015
197,7114.0,5892.0,13.0,0.0,122.0,0.0,381.0,706.0,7101.0,1453.0,44134.0,015,53,000704,53015000704,2015
198,6743.0,6164.0,0.0,20.0,251.0,29.0,196.0,83.0,6695.0,526.0,65000.0,015,53,000800,53015000800,2015
199,7239.0,6142.0,69.0,81.0,104.0,0.0,293.0,528.0,7017.0,568.0,53979.0,015,53,000900,53015000900,2015
200,1307.0,831.0,4.0,16.0,0.0,0.0,33.0,423.0,1307.0,641.0,21833.0,015,53,001000,53015001000,2015
201,5565.0,4590.0,142.0,119.0,49.0,0.0,89.0,576.0,5565.0,2295.0,27348.0,015,53,001100,53015001100,2015
202,4056.0,3513.0,33.0,47.0,70.0,18.0,110.0,265.0,4049.0,456.0,53438.0,015,53,001200,53015001200,2015
203,3788.0,2578.0,76.0,78.0,91.0,6.0,373.0,586.0,3756.0,655.0,36440.0,015,53,001300,53015001300,2015
204,2892.0,2656.0,0.0,0.0,0.0,0.0,44.0,192.0,2892.0,393.0,66295.0,015,53,001501,53015001501,2015
205,6959.0,5552.0,34.0,32.0,108.0,0.0,125.0,1108.0,6883.0,1139.0,61285.0,015,53,001502,53015001502,2015
206,6901.0,6346.0,0.0,42.0,70.0,0.0,120.0,313.0,6839.0,654.0,56875.0,015,53,001600,53015001600,2015
207,5019.0,4484.0,0.0,43.0,0.0,0.0,84.0,408.0,5009.0,370.0,69750.0,015,53,001700,53015001700,2015
208,1894.0,1627.0,0.0,80.0,11.0,0.0,122.0,54.0,1894.0,165.0,55667.0,015,53,001800,53015001800,2015
209,5144.0,4883.0,92.0,0.0,11.0,0.0,35.0,108.0,5106.0,682.0,64228.0,015,53,001900,53015001900,2015
